,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
57,BBC,Tue Mar 06 13:10:12 +0000 2018,"👟♻️ British designer Anna Bullus is on a mission to recycle chewing gum into useful objects, cleaning up our street… https://t.co/WbBeJSXXqF",0.4404,0.132,0.0,0.868,43
58,BBC,Tue Mar 06 12:30:05 +0000 2018,What happened to the beautiful Opal Reef that was one of the stars of David Attenborough's #BluePlanet2? https://t.co/RMNYfrBbdK,0.5994,0.187,0.0,0.813,42
59,BBC,Tue Mar 06 10:18:16 +0000 2018,"RT @BBCSportWales: We could watch this all day! 

Welcome to the wonderful world of football analogies - starring @SwansOfficial manager Ca…",0.7901,0.28,0.0,0.72,41
60,BBC,Tue Mar 06 09:00:05 +0000 2018,🐒❤️ This baby chimp is being flown to a new home in DR Congo after it was rescued from poachers. https://t.co/rUZzDVLBt8,0.4215,0.128,0.0,0.872,40
61,BBC,Tue Mar 06 08:30:10 +0000 2018,💍🙅 Crippling costs and parents' split-ups could be to blame for the declining number of marriages between men and w… https://t.co/avVWNgx3jH,-0.2732,0.057,0.106,0.837,39
62,BBC,Tue Mar 06 08:03:02 +0000 2018,"We've all heard thunder before, but what does lightning sound like? ⚡️🤔https://t.co/3BGKK7iukQ",0.5023,0.228,0.0,0.772,38
63,BBC,Mon Mar 05 19:30:07 +0000 2018,😂 Who actually watched the #Oscars? https://t.co/opThFzy37n,0.0,0.0,0.0,1.0,37
64,BBC,Mon Mar 05 18:38:04 +0000 2018,"No meat. No fish. No eggs. No milk. No cheese. How hard is it to go vegan for a month? 

🥦🥑🍏 Nesta McGregor investi… https://t.co/1UBRGqIOp6",-0.8555,0.0,0.408,0.592,36
65,BBC,Mon Mar 05 17:23:22 +0000 2018,"Like father, like daughter.

😂🔥 @GordonRamsay's daughter has already mastered the art of the roast. https://t.co/0dqwntX5uj",0.6124,0.263,0.0,0.737,35
66,BBC,Mon Mar 05 17:15:34 +0000 2018,RT @BBCFOUR: The little mouse that inspired Pikachu is actually... a rabbit. https://t.co/mHCFFXczka,0.4472,0.211,0.0,0.789,34
67,BBC,Mon Mar 05 17:00:31 +0000 2018,"""I made a promise to our six-year-old lead actress that I would sign this speech. My hands are shaking a little bit… https://t.co/HgFpUtHDTB",0.1531,0.105,0.077,0.818,33
68,BBC,Mon Mar 05 14:48:43 +0000 2018,"RT @BBCRadio4: As it's Hexagonal Phase approaches, a brief history of the Hitchhiker's Guide: https://t.co/Ehp9AfMyn8 #h2g2 https://t.co/9F…",0.0,0.0,0.0,1.0,32
69,BBC,Mon Mar 05 14:43:13 +0000 2018,RT @BBCFOUR: How did Julius Caesar hide his bald patch? https://t.co/SME5Dfwifj,-0.1779,0.0,0.145,0.855,31
70,BBC,Mon Mar 05 14:42:36 +0000 2018,"RT @BBC_Teach: Thursday is #InternationalWomensDay

Reflecting on The Representation of the People Act with your class? @gemcairn traces th…",0.0,0.0,0.0,1.0,30
71,BBC,Mon Mar 05 14:11:28 +0000 2018,"RT @bbc5live: When you almost (accidentally) kill @Harry_Styles on the set of Dunkirk… 😳

 #Oscars https://t.co/G127l5yPkY",-0.6621,0.0,0.24,0.76,29
72,BBC,Mon Mar 05 14:07:00 +0000 2018,"RT @cbbc: Which football clubs charge the most for their pies? Take the imPIErative quiz here ⚽️🍴 👉 https://t.co/xlSch4HVvl

#BritishPieWee…",0.0,0.0,0.0,1.0,28
73,BBC,Mon Mar 05 13:17:03 +0000 2018,"🐶💛 Little Ivor the Staffordshire puppy is deaf, but since learning sign language his life has changed for the bette… https://t.co/vL83oBTAIL",0.0,0.0,0.0,1.0,27
74,BBC,Mon Mar 05 13:07:19 +0000 2018,RT @BBCFood: #MeatFreeMonday + #BritishPieWeek = Lancashire cheese and onion pie 🙌 🥧🧀 https://t.co/07cH2MESmI https://t.co/G79WTJJnKr,0.0,0.0,0.0,1.0,26
75,BBC,Mon Mar 05 12:34:04 +0000 2018,"What is the best way to cope with adult acne? @BBCWomansHour asked dermatologist @DrAnjaliMahto to find out... 
📻👉… https://t.co/DxHxgWTslT",0.6369,0.189,0.0,0.811,25
76,BBC,Mon Mar 05 12:33:12 +0000 2018,"RT @bbcgetinspired: It was a feat some doctors said was impossible. Then Roger Bannister came along.

The first man to run a four-minute mi…",0.0,0.0,0.0,1.0,24
77,BBC,Mon Mar 05 11:54:02 +0000 2018,"🐋🏊 What an experience!  
This is what it's like to go swimming with whales... 
#AmazingHotels https://t.co/ji90J6Olsj",0.4199,0.157,0.0,0.843,23
78,BBC,Mon Mar 05 11:37:55 +0000 2018,"❤️ Just adorable. 
How would you react if your daughter won an Oscar? 
#TheSilentChild #Oscars https://t.co/ienD3dDtKX",0.7845,0.33,0.0,0.67,22
79,BBC,Mon Mar 05 11:00:11 +0000 2018,"This year's #Oscars have been handed out at the 90th annual Academy Awards in Hollywood. Find out who won, and who… https://t.co/ZxfsMpDVwd",0.7717,0.251,0.0,0.749,21
80,BBC,Mon Mar 05 10:42:57 +0000 2018,"RT @BBCCornwall: It's #StPiransDay - so cheers to everyone! #GoolPeranLowen 🌮

Bit of fun .. complete this sentence ""You know you're #Corni…",0.8384,0.345,0.0,0.655,20
81,BBC,Mon Mar 05 10:42:50 +0000 2018,"RT @BBC6Music: 🥟 Gool Peran Lowen / Happy #StPiransDay to all of our 
‘ansom Cornish listeners. 

To celebrate Gwenno is in session for @la…",0.8126,0.27,0.0,0.73,19
82,BBC,Mon Mar 05 10:09:20 +0000 2018,"RT @BBCRD: Available now! 📲 Download the #Civilisations Augmented Reality app @BBCTaster to explore classic art, objects, and artefacts fro…",0.0,0.0,0.0,1.0,18
83,BBC,Mon Mar 05 09:58:23 +0000 2018,RT @BBCRadio2: What'sthe first leg of @ZoeTheBall's epic Sport Relief challenge? 🚲 She updates @achrisevans on #HardestRoadHome @sportrelie…,0.5267,0.227,0.0,0.773,17
84,BBC,Mon Mar 05 09:30:07 +0000 2018,🎭🎬#Oscars outfits designed to dazzle - all the red carpet glamour from the 90th Academy Awards in pictures… https://t.co/iMBBXl75k0,0.7506,0.286,0.0,0.714,16
85,BBC,Mon Mar 05 09:00:05 +0000 2018,😍 A rare pure-white stoat! https://t.co/VoR9jXJmk4,0.0,0.0,0.0,1.0,15
86,BBC,Mon Mar 05 08:30:04 +0000 2018,"Many personality traits can be observed but there are other hidden forces that shape who we are.
👉… https://t.co/aTsldl7s1z",0.0,0.0,0.0,1.0,14
87,BBC,Mon Mar 05 08:00:04 +0000 2018,"🐝🍯 How honey is collected.
#AmazingHotels https://t.co/UIJKlsamx5",0.0,0.0,0.0,1.0,13
